Utility,State,PopulationServed
Sydney Water Corporation,New South Wales,5272000.0
Water Corporation - Perth,Western Australia,2252000.0
Yarra Valley Water Corporation,Victoria,1982572.0
South Australian Water Corporation,South Australia,1866000.0
South East Water Corporation,Victoria,1795000.0
Urban Utilities,Queensland,1553000.0
Greater Western Water,Victoria,1474007.0
South Australian Water Corporation - Adelaide,South Australia,1461000.0
Unitywater,Queensland,850484.0
City of Gold Coast,Queensland,685573.0
